#method		systemmodule		applicationmodule
Linear    17.09521701113268	16.995543404934303
EWMA(0.1)  18.296524925912784	18.215326285946123
EWMA(0.3)  18.634065370139357	18.55787468547748
EWMA(0.5)  19.549096884965934	19.175590468476965
EWMA(0.7)  20.990314316712563  20.51627364278156
EWMA(0.9)  22.31406782266575  22.091502084831934
ARMA(5,4)  27.590095494184784  27.408934425486564
ARMA(7,4)  26.24726445371054  25.848329943764618
ARMA(10,4)	27.183299764278818	26.986033307626695
ARMA(15,4)	27.204858911312332	27.163952285682935
ARMA(20,4)	27.670488440443606	27.503757262899697
ARMA(25,4)	24.975879087744435	24.792189970649563
AR(7)		25.554888699432723	25.300396003704094
AR(5)		26.51465470433128	26.261054244811717
AR(10)		26.815936148780935	26.775171030460896
AR(15)		28.240411109227686	28.060597329557503
AR(20)		27.500831205602815	28.3613317781641
AR(25)		26.995335033992784	28.936906485029247
