#application(s)	wasl (app0)		Uncoordinated (app0)	wasl (app1)		Uncoordinated (app1)
xapian-moses	13.067494900000000	14.922802300000000	4.124300200000000	5.1330176
xapian-masstree	11.473571200000000	12.294737200000000	1.0050292000000000	2.110625600000000
xapian-silo	11.382496		15.832749000000000	3.604450499999990	5.071648300000000
xapian-dnn	11.480020200000000	12.139179000000000	1.4883720000000000	1.6326407
moses-masstree	4.902214699999990	5.664133000000000	1.1344948		2.8374444000000000
moses-silo	5.197389300000000	5.2822883		4.566638500000000	8.391398
moses-dnn	5.180550000000000	5.936505400000000	2.0243939000000000	2.0417803000000000
masstree-silo	0.7018122		0.7872682		3.691533400000000	4.34571709999999
masstree-dnn	1.4847023000000000	6.2497113999999900	1.4125029000000000	1.5153369000000000
silo-dnn		4.8517795000000000	8.347759399999990	1.4562886000000000	1.6536089000000000
GeoMean		5.148			6.90			2.11			2.935
