#application(s)	wasl (app0)	Uncoordinated (app0)	wasl (app1)	Uncoordinated (app1)
xapian-moses	13.2317789	46.409516899999900	4.2017563	6.972727599999970
xapian-masstree	11.49443910	62.48395370000000	1.1809457	35.058765
xapian-silo	11.28786990	11.903127100000000	0.5445802	2.9105219000000000
xapian-dnn	11.26565540	46.65304179999990	1.6475707	2.1729360000000000
moses-masstree	5.006288200	8.675248200000000	1.2322188	43.906663700000000
moses-silo	5.013562499	5.737871300000000	0.5821053	9.26557499999997
moses-dnn	5.166089000	6.0959433		2.0492022	2.2462498000000000
masstree-silo	0.8376904	1.8887680000000000	0.6526038	0.8363120999999990
masstree-dnn	2.1916487000	43.92119930000000	1.4272795	2.1625803000000000
silo-dnn		0.5811552	16.255850400000000	1.2354175	1.8147116000000000
GeoMean		4.392		15.201			1.2237		4.641
